Timestamp,Location_Lat,Location_Long,Crowd_Density,Movement_Speed,Activity_Type,Weather_Conditions,Temperature_x,Sound_Level_dB,AR_System_Interaction,Fatigue_Level,Stress_Level,Queue_Time_minutes,Health_Condition,Age_Group,Nationality,Transport_Mode,Waiting_Time_for_Transport,Security_Checkpoint_Wait_Time,Emergency_Event,Incident_Type,Crowd_Morale,Pilgrim_Experience,Interaction_Frequency,Distance_Between_People_m,Event_Type,Time_Spent_at_Location_minutes,AR_Navigation_Success,Satisfaction_Rating,Perceived_Safety_Rating,Month,Day,Hour,Is_Hajj_Season,Date_x,DayOfWeek,Date_y,Time,Temperature_y,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,weather_dt
2024-06-06 03:43:10,21.340048,39.91694,High,1.0,Prayer,Rainy,44,71,Started,Medium,Medium,13,Normal,Youth,Saudi,Bus,117,17,No,Medical Emergency,Negative,First-Time,5,0.57,Medical Emergency,29,No,5,3,6,6,3,1,2024-06-06,Thursday,2024-06-06,4:00 AM,91 °F,21 °F,8 %,S,6 mph,0 mph,27.67 in,0.0 in,Fair,2024-06-06 04:00:00
2024-06-06 04:44:07,21.348336,39.810539,High,0.44,Tawaf,Clear,38,65,Started,Low,High,6,Fainting,Youth,Indian,Bus,54,12,Yes,Medical Emergency,Neutral,Experienced,9,0.74,Crowd Congestion,61,Yes,2,3,6,6,4,1,2024-06-06,Thursday,2024-06-06,5:00 AM,84 °F,28 °F,13 %,E,2 mph,0 mph,27.67 in,0.0 in,Fair,2024-06-06 05:00:00
2024-06-06 05:44:53,21.216007,39.867463,High,1.42,Prayer,Clear,41,90,Started,Low,Medium,28,Fainting,Youth,Indonesian,Walking,10,12,Yes,Lost Item,Neutral,Experienced,0,1.38,Medical Emergency,17,No,4,2,6,6,5,1,2024-06-06,Thursday,2024-06-06,6:00 AM,84 °F,30 °F,14 %,CALM,0 mph,0 mph,27.70 in,0.0 in,Fair,2024-06-06 06:00:00
2024-06-06 06:28:29,21.31611,39.918455,High,0.35,Walking,Clear,37,70,Completed,High,High,30,Normal,Youth,Saudi,Walking,61,8,Yes,Theft,Neutral,First-Time,3,1.03,Religious Activity,37,No,5,3,6,6,6,1,2024-06-06,Thursday,2024-06-06,6:00 AM,84 °F,30 °F,14 %,CALM,0 mph,0 mph,27.70 in,0.0 in,Fair,2024-06-06 06:00:00
2024-06-06 06:53:54,21.39082,39.907748,High,0.27,Resting,Rainy,42,85,Started,High,Medium,48,Fainting,Youth,Other,Walking,101,20,No,Unruly Behavior,Neutral,First-Time,4,0.99,Crowd Congestion,70,Yes,1,1,6,6,6,1,2024-06-06,Thursday,2024-06-06,7:00 AM,90 °F,28 °F,11 %,CALM,0 mph,0 mph,27.72 in,0.0 in,Fair,2024-06-06 07:00:00
2024-06-06 07:51:25,21.236455,39.805424,High,0.44,Walking,Cloudy,37,78,Started,High,Low,20,Dehydration,Youth,Indonesian,Train,90,27,No,Medical Emergency,Neutral,Experienced,8,1.0,Transport Delay,80,No,5,2,6,6,7,1,2024-06-06,Thursday,2024-06-06,8:00 AM,97 °F,27 °F,8 %,CALM,0 mph,0 mph,27.72 in,0.0 in,Fair,2024-06-06 08:00:00
2024-06-06 08:12:32,21.351698,39.972262,High,0.8499999999999999,Resting,Clear,36,96,Started,High,Low,33,Injured,Youth,Indonesian,Bus,45,9,No,Security Breach,Negative,First-Time,4,1.0,Medical Emergency,89,Yes,5,5,6,6,8,1,2024-06-06,Thursday,2024-06-06,8:00 AM,97 °F,27 °F,8 %,CALM,0 mph,0 mph,27.72 in,0.0 in,Fair,2024-06-06 08:00:00
2024-06-06 08:14:07,21.233441,39.973662,High,0.98,Prayer,Clear,39,85,In Progress,Medium,High,53,Dehydration,Youth,Egyptian,Train,85,5,Yes,Security Breach,Positive,Experienced,1,1.31,Transport Delay,110,No,4,1,6,6,8,1,2024-06-06,Thursday,2024-06-06,8:00 AM,97 °F,27 °F,8 %,CALM,0 mph,0 mph,27.72 in,0.0 in,Fair,2024-06-06 08:00:00
2024-06-06 08:17:09,21.205709,39.871998,High,0.1,Tawaf,Clear,40,94,In Progress,Medium,Low,60,Heatstroke,Youth,Saudi,Car,90,30,No,Medical Emergency,Positive,Experienced,8,0.62,Crowd Congestion,25,Yes,2,2,6,6,8,1,2024-06-06,Thursday,2024-06-06,8:00 AM,97 °F,27 °F,8 %,CALM,0 mph,0 mph,27.72 in,0.0 in,Fair,2024-06-06 08:00:00
2024-06-06 08:27:11,21.252375,39.937753,High,0.94,Prayer,Clear,32,84,Started,High,High,19,Heatstroke,Youth,Saudi,Car,73,23,Yes,Unruly Behavior,Negative,Experienced,2,1.85,Crowd Congestion,16,Yes,5,4,6,6,8,1,2024-06-06,Thursday,2024-06-06,8:00 AM,97 °F,27 °F,8 %,CALM,0 mph,0 mph,27.72 in,0.0 in,Fair,2024-06-06 08:00:00
